"lat","lng","mag"
"-21.5594","-179.3685","7.3"
"27.7230","88.0640","6.9"
"40.2205","143.0496","6.2"
"40.3033","142.8010","6.7"
"36.2895","141.3084","6.2"
"-35.4300","-177.8778","6.0"
"53.1380","173.0219","6.1"
"-18.8241","169.1752","5.3"
"38.5748","141.7442","5.0"
"-38.2466","-17.1043","5.2"
"-4.5722","-105.2814","5.0"
"14.3319","-90.1421","5.8"
"52.0415","-171.8583","5.8"
"53.3657","-169.9851","5.4"
"-2.1549","125.0581","5.3"
"-10.5369","161.4369","5.2"
"37.8226","141.4119","5.1"
"41.9534","142.4617","5.0"
"39.7697","143.4937","5.6"
"40.2802","143.1875","5.2"
"48.9057","154.7938","5.4"
"40.3085","142.9011","5.9"
"40.2877","143.1739","5.5"
"40.1219","143.3306","5.6"
"40.3046","143.1797","5.5"
"40.4034","142.0339","5.2"
"-20.6875","169.7637","5.5"
"18.2196","119.3402","5.2"
"-56.3077","-26.8205","5.1"
"-54.0405","-1.9708","5.1"
"36.3827","82.5278","5.1"
"-14.8480","-177.8124","5.5"
"19.5627","-78.0078","5.1"
"-6.2319","103.6424","5.3"
"-35.0655","-178.9581","5.6"
"16.1693","-94.6562","4.1"
"-6.8616","132.4658","4.6"
"-22.0664","-176.4061","4.7"
"6.4772","124.7328","4.6"
"51.2915","-169.5266","4.6"
"13.2240","-89.9396","4.2"
"14.2448","-90.2587","4.6"
"-3.5213","135.4866","4.8"
"-0.6433","131.6073","4.8"
"-4.2340","34.2810","4.9"
"14.1793","-90.1474","4.3"
"29.4210","56.7053","4.6"
"-5.5868","149.3253","4.7"
"14.0582","-90.2763","4.5"
"14.2884","-90.2028","4.8"
"14.4001","-90.2168","4.8"
"51.5722","-176.4482","4.4"
"47.9215","147.3454","4.8"
"14.0662","-92.5429","4.2"
"-43.6200","172.8000","4.0"
"45.6013","-75.2345","4.0"
"27.3772","88.2661","4.6"
"27.4463","88.3908","4.8"
"18.6377","145.2893","4.6"
"-23.9583","-66.7355","4.5"
"-0.9549","97.8385","4.5"
"-16.8000","41.9774","4.6"
"28.0283","52.9387","4.6"
"-28.7583","-70.9827","4.9"
"-20.2140","147.6140","4.1"
"-7.7894","-74.6220","4.5"
"38.3014","141.9765","4.8"
"39.9582","143.2640","4.6"
"-17.5438","-178.7568","4.2"
"-12.2167","165.8440","4.9"
"40.3130","143.0264","4.9"
"28.3091","54.8640","4.6"
"-5.0770","129.4612","4.8"
"-11.2534","-77.1972","4.2"
"7.4844","-36.9387","4.9"
"5.2649","-82.5367","4.4"
"35.4645","140.8498","4.6"
"14.8416","-95.2707","4.1"
"-20.5618","-179.0012","4.7"
"51.8108","-171.5867","4.3"
"34.2041","135.5594","4.6"
"36.4013","70.5114","4.4"
"-54.0752","-1.5509","4.9"
"39.8263","141.9961","4.7"
"49.5729","-127.1820","4.1"
"3.3627","126.6615","4.9"
"35.8189","25.6399","4.4"
"21.6266","143.0054","4.4"
"59.1320","-138.1213","4.5"
"59.8977","-151.8272","4.1"
"33.9530","-117.0758","4.1"
"36.4506","70.3667","4.5"
"32.2823","-115.4337","3.3"
"19.2110","-64.4779","3.5"
"61.2434","-146.9044","3.0"
"18.1250","-64.1999","3.3"
"18.3110","-65.3030","3.1"
"18.2250","-65.1770","3.2"
"19.1660","-65.2720","3.3"
"18.3400","-65.2799","3.1"
"17.9319","-68.1549","3.0"
"51.6348","-171.7213","3.6"
"18.9780","-65.2789","3.2"
"18.4349","-65.2990","3.3"
"56.1681","-156.0880","3.8"
"18.9160","-66.3059","3.3"
"59.8534","-153.5152","3.3"
"60.1638","-153.2441","3.3"
"38.8258","-122.8037","3.4"
"19.0729","-68.2919","3.1"
"51.8889","-173.3310","3.0"
"58.5458","-150.7503","3.0"
"36.8948","-104.7688","3.8"
"61.2425","-147.0435","3.8"
"18.1170","-64.3759","3.0"
"18.9370","-67.7340","3.0"
"51.6905","-171.3331","3.0"
"52.0403","-171.0686","3.7"
"20.1713","-155.4863","3.5"
"59.0976","-137.9847","3.2"
"19.3320","-155.1772","3.2"
"54.7646","-160.6450","3.2"
"63.2643","-151.4429","3.5"
"58.3174","-133.5303","3.0"
"52.2076","-171.2668","3.2"
"33.6328","-117.8390","3.5"
"59.0994","-137.9997","3.0"
"51.9338","-171.4402","3.0"
"61.3511","-147.0024","3.0"
"51.9656","-171.3966","3.0"
"52.2014","-171.1702","3.1"
"61.6670","-149.5198","2.2"
"18.3929","-68.2600","2.8"
"33.0103","-115.5380","2.0"
"32.2258","-115.4522","2.5"
"40.9770","-123.1337","2.1"
"32.2913","-115.4498","2.5"
"34.0325","-117.2565","2.0"
"19.2430","-64.5879","2.8"
"63.0417","-150.1762","2.1"
"59.4014","-153.3931","2.2"
"63.2473","-151.0441","2.3"
"63.0369","-151.3896","2.4"
"40.1477","-123.8532","2.7"
"62.1757","-150.2602","2.1"
"35.9303","-117.6575","2.5"
"60.7743","-146.7404","2.0"
"39.6072","-121.5680","2.1"
"35.9287","-119.9667","2.3"
"37.4642","-121.7762","2.4"
"60.6023","-151.1059","2.2"
"60.6038","-151.0548","2.1"
"59.2251","-153.3816","2.4"
"33.6757","-117.5763","2.0"
"37.7618","-113.8882","2.7"
"33.2958","-116.7548","2.2"
"17.4109","-67.4169","2.8"
"61.4721","-149.8857","2.4"
"35.3740","-83.6718","2.1"
"40.2998","-124.4800","2.6"
"32.1707","-115.3423","2.2"
"19.3697","-155.2327","2.2"
"36.0308","-117.7678","2.7"
"35.1322","-118.2458","2.9"
"37.7627","-113.9008","2.1"
"35.3815","-83.6728","2.2"
"18.7439","-65.1179","2.9"
"36.1145","-118.0882","2.2"
"19.9597","-156.2017","2.9"
"34.3420","-116.4723","2.1"
"37.9761","-77.8292","2.3"
"32.1920","-115.2607","2.3"
"20.3038","-155.4365","2.5"
"32.4230","-115.5700","2.2"
"18.0380","-65.8130","2.2"
"18.8509","-65.3359","2.9"
"38.8292","-122.8015","2.0"
"62.3044","-150.0773","2.0"
"60.9347","-147.3503","2.3"
"60.7585","-150.6134","2.2"
"19.9933","-155.3262","2.0"
"58.8575","-151.0237","2.6"
"37.9766","-77.8312","2.0"
"59.4509","-152.4437","2.4"
"58.0458","-156.5701","2.0"
"58.3695","-138.0260","2.3"
"32.0568","-115.1643","2.5"
"32.1132","-115.1732","2.8"
"61.4398","-150.8426","2.6"
"18.6930","-65.2870","2.9"
"62.2159","-151.1504","2.1"
"57.3479","-153.6918","2.9"
"63.5425","-151.2204","2.2"
"19.2199","-67.3320","2.7"
"56.2102","-157.9775","2.4"
"34.1618","-116.4305","2.1"
"61.2782","-146.8300","2.5"
"19.0205","-155.4215","2.3"
"60.1680","-150.9360","2.0"
"37.9521","-77.9415","2.1"
"64.9007","-148.5883","2.0"
"19.8118","-155.7872","2.4"
"61.2497","-147.2907","2.0"
"38.8347","-122.8000","2.7"
"61.4294","-151.7346","2.0"
"38.3841","-118.7531","2.3"
"62.2564","-150.1240","2.3"
"60.8542","-149.9832","2.1"
"18.3670","-65.7979","2.9"
"37.9744","-77.8273","2.1"
"61.4394","-150.2947","2.2"
"33.1692","-115.5987","2.0"
"37.6968","-113.1773","2.6"
"37.9249","-77.9875","2.6"
"18.8409","-67.5820","2.8"
"59.4369","-152.7782","2.0"
"61.2082","-147.1279","2.1"
"34.3082","-116.9722","2.2"
"63.5599","-147.6486","2.2"
"32.1480","-115.2375","2.5"
"19.3352","-155.1077","2.2"
"37.9275","-77.9882","2.0"
"19.5335","-155.8683","2.0"
"63.1848","-148.1027","2.9"
"46.9754","-112.9920","2.4"
"34.9910","-116.9518","2.0"
"44.1313","-113.9675","2.5"
"61.4296","-151.2440","2.6"
"34.4728","-116.4997","2.2"
"59.7665","-153.5807","2.5"
"65.8814","-150.8771","2.0"
"38.8022","-122.8180","2.0"
"34.6208","-116.5797","2.3"
"43.4468","-124.1015","2.1"
"33.8880","-116.2552","2.2"
"61.0946","-140.1710","2.0"
"32.1947","-115.1955","2.2"
"45.7936","-122.6233","2.7"
"61.2061","-147.1198","2.2"
"37.9365","-77.9868","2.1"
"51.9498","-174.5612","2.2"
"60.6570","-152.1437","2.2"
"19.2702","-155.4383","2.4"
"61.2566","-146.9764","2.2"
"51.7660","-171.5512","2.9"
"32.1582","-115.2585","2.8"
"61.2391","-146.9914","2.0"
"61.1800","-147.0857","2.7"
"61.2014","-147.1003","2.6"
"60.3202","-147.2833","2.0"
"63.4847","-148.9063","2.2"
"35.3650","-92.2513","2.0"
"44.1078","-110.3568","2.2"
"39.4874","-119.8889","2.2"
"19.4080","-155.3010","2.4"
"45.3400","-111.5846","2.3"
"32.3015","-115.3193","2.2"
"56.1365","-157.5847","2.8"
"31.1443","-115.3898","2.8"
"51.0736","-172.7422","2.5"
"58.4062","-141.3061","2.2"
"60.0340","-152.8721","2.2"
"32.1020","-117.1643","2.2"
"63.2096","-150.0716","2.2"
"58.3357","-133.6998","2.2"
"58.3926","-133.5753","2.5"
"40.5507","-124.3267","2.3"
"59.7296","-150.6685","2.9"
"36.0690","-114.7400","2.2"
"51.8286","-174.4137","2.5"
"59.0863","-137.9659","2.1"
"58.3346","-133.5612","2.3"
"19.3313","-155.7927","2.0"
"54.6940","-161.0403","2.4"
"59.0924","-138.0203","2.1"
"19.2135","-155.4147","2.0"
"19.2243","-155.4250","2.0"
"19.2170","-155.4277","2.3"
"59.4483","-152.6864","2.1"
"40.4633","-125.8628","2.9"
"32.0665","-115.1198","2.6"
"17.6800","-67.4789","2.6"
"53.4046","-167.3130","2.8"
"18.2019","-67.1009","2.8"
"40.4463","-122.2593","2.1"
"44.6515","-109.8767","2.4"
"19.9482","-155.2802","2.2"
"59.9000","-153.4787","2.1"
"47.7171","-121.8935","2.3"
"34.0928","-116.9785","2.2"
"32.1863","-115.2583","2.8"
"59.8853","-152.9011","2.2"
"59.1401","-137.9982","2.2"
"59.1320","-137.9879","2.6"
"55.3011","-159.0903","2.4"
"53.6882","-166.2693","2.4"
"52.8116","-169.5298","2.7"
"52.5773","-163.9052","2.9"
"33.8508","-117.7935","2.0"
"19.3767","-155.2405","2.4"
"58.4138","-154.4349","2.0"
"61.3407","-147.3728","2.1"
"52.1204","-166.6154","2.4"
"40.3397","-124.4667","2.1"
"59.8263","-153.5920","2.1"
"39.7278","-123.4767","2.4"
"53.8888","-157.3897","2.9"
"54.6896","-161.9583","2.8"
"53.5213","-165.1984","2.0"
"56.9196","-157.3134","2.3"
"36.2008","-114.6252","2.4"
"53.5256","-167.1778","2.1"
"53.8009","-162.0083","2.5"
"37.6200","-118.8103","2.2"
"19.3972","-155.3812","2.3"
"56.3976","-159.6613","2.8"
"59.6156","-152.9681","2.3"
"38.8050","-122.8153","2.7"
"58.7561","-152.6842","2.1"
"19.3985","-155.2708","2.1"
