coords,points,values
"-28.96246667,31.76831667;-28.3131954494,33.7172313065;-27.3821794244,35.6096266947;-26.4079752664,37.0320378715;-25.1598732819,38.3393560794","2;4;6;8;9","10;7;8;15;20"
"-25.9746178293,32.5949342847;-25.5017124284,33.7288720226;-25.2096148686,35.0971906782;-25.1598732819,38.3393560794","1;2;3;4","100;75;30;120"
"-25.1598732819,38.3393560794;-25.1602336873,38.3424532529","1;2",value
"-25.1598732819,38.3393560794;-22.7333398777,40.0265418018","1;2",value
"-22.7333398777,40.0265418018;-22.7330462105,40.0249466607","1;2",value
"-22.7333398777,40.0265418018;-19.3343873546,41.4954799601;-15.6728486212,42.4103459727;-12.9761016776,42.4744872468;-8.99718097492,41.980382993;-6.84751897665,41.9813913591",1,value
"-6.84751897665,41.9813913591;-4.25774774238,42.3325457795",5,value
"-6.80161762358,39.2967243354;-6.84751897665,41.9813913591",1,value
"-4.25774774238,42.3325457795;-4.257846215,42.3338601518",8,value
"-4.25774774238,42.3325457795;-2.96441870711,42.8954342835;-1.71245980724,43.8835943839;1.96244838322,48.3707032958;3.4941335584,49.8350285928;9.00805540191,54.2677627716;14.1348465309,57.4208270655",5,value
"-4.25774774238,42.3325457795;-4.05971467174,39.689281069",point,value
"11.5732464678,43.1620512263;11.7764107107,43.8905247424;13.6410823716,55.8830012895;14.1348465309,57.4208270655",5,value
"11.8584691103,44.3737575402;12.8469980819,43.2148615461;13.6304837182,43.1290508608;14.0957993289,42.9017200845;17.4975716801,39.9767364456;19.0283007279,38.9751295032;20.2848239332,38.6814378627;21.5314985459,39.1410761639;22.0573739219,37.870078065;27.5734410609,34.1556227162;28.6278515505,33.0760779677;29.1162335899,32.6579715849;29.2777666479,32.0530489515;30.7530324716,30.007902217;31.0675111111,29.6881166667;33.0420144726,28.8629353242;33.6781486612,27.4562476973;34.1291525393,25.1873519081;34.6587225387,19.642477806;35.0697093656,17.2330708281;35.7159528324,15.2693940209;37.4478830083,11.8182242159;37.9212849571,9.15151507475;38.267418721,8.27859433555;38.769074198,7.69309858242;39.5061590058,7.16636280555;43.2853628432,5.37469108526",6,value
"14.1348465309,57.4208270655;15.2986175306,61.0453854852;19.0806066088,72.8243698047",7,value
