coords,points,values
"50.85,4.35;37.4192,-122.0574","91.180.144.1;74.125.133.94",27.056
"50.85,4.35;51.0,9.0","91.180.144.1;46.29.100.76",62.372
"50.85,4.35;48.86,2.35","91.180.144.1;80.125.163.172",30.672
"50.85,4.35;42.8333,12.8333","91.180.144.1;156.54.82.96",55.692
"50.85,4.35;55.75,37.6166","91.180.144.1;213.180.204.62",78
"50.85,4.35;32.0,-5.0","91.180.144.1;81.192.44.117",70.163
"50.85,4.35;30.05,31.3666","91.180.144.1;213.158.168.157",104.565
"50.85,4.35;41.0136,28.955","91.180.144.1;212.175.73.65",90.122
"50.85,4.35;46.0,25.0","91.180.144.1;193.231.104.32",54
"50.85,4.35;52.35,4.9167","91.180.144.1;184.50.170.120",28
"50.85,4.35;42.3626,-71.0843","91.180.144.1;172.229.185.145",24
"50.85,4.35;14.0,-14.0","91.180.144.1;41.208.148.69",76.269
"50.85,4.35;-15.0,30.0","91.180.144.1;41.72.99.142",171.097
"50.85,4.35;25.0,45.0","91.180.144.1;212.118.156.22",98.946
"50.85,4.35;-29.0,24.0","91.180.144.1;165.143.158.60",228.470
"50.85,4.35;39.6237,-104.8738","91.180.144.1;198.171.139.220",94.502
"50.85,4.35;39.9289,116.3883","91.180.144.1;211.100.35.132",370.017
"50.85,4.35;29.4889,-98.3987","91.180.144.1;192.237.224.218",117.169
"50.85,4.35;1.2931,103.8558","91.180.144.1;203.127.23.38",374.424
"50.85,4.35;-23.5477,-46.6358","91.180.144.1;177.85.161.68",215.933
"50.85,4.35;39.6237,-104.8738","91.180.144.1;128.241.121.56",182
"50.85,4.35;38.0,-97.0","91.180.144.1;38.96.10.250",162
