County,Population,Density,Area
Greater London ,8196700,5223,1569
West Midlands ,2739800,3039,902
Greater Manchester ,2685400,2105,1276
West Yorkshire ,2227400,1098,2029
Kent ,1466500,413,3544
Essex ,1396600,403,3464
Merseyside ,1380800,2141,645
South Yorkshire ,1343900,866,1552
Hampshire ,1322300,359,3679
Lancashire ,1171600,404,2903
Surrey ,1135500,683,1663
Hertfordshire ,1119800,682,1643
Tyne and Wear ,1104100,2044,540
Norfolk ,859400,160,5371
Staffordshire ,849600,324,2620
West Sussex ,808900,406,1990
Nottinghamshire ,786700,377,2085
Derbyshire ,770600,303,2547
Devon ,747900,114,6564
Suffolk ,730100,192,3800
Lincolnshire ,714800,121,5921
Northamptonshire ,693900,294,2364
Oxfordshire ,654800,251,2605
Leicestershire ,651200,313,2083
Cambridgeshire ,622200,204,3046
North Yorkshire ,601200,75,8038
Gloucestershire ,598300,226,2653
Worcestershire ,566500,325,1741
Warwickshire ,546500,277,1975
Cornwall ,533800,151,3546
Somerset ,531600,154,3451
East Sussex ,527200,308,1709
Durham ,513000,230,2226
Buckinghamshire ,506700,324,1565
Cumbria ,499800,74,6767
Wiltshire ,474300,146,3255
Bristol ,428100,3906,110
Dorset ,413800,163,2542
Cheshire East ,370700,318,1166
East Riding of Yorkshire ,334700,139,2408
Leicester ,329600,4494,73
Cheshire West and Chester ,329500,359,917
Northumberland ,316300,63,5013
Shropshire ,307100,96,3197
Nottingham ,303900,4073,75
Brighton and Hove ,273000,3302,83
Medway ,264900,1379,192
South Gloucestershire ,263400,530,497
Plymouth ,256600,3216,80
Kingston upon Hull ,256100,3584,71
Central Bedfordshire ,255600,357,716
Milton Keynes ,249900,810,309
Derby ,248900,3190,78
Stoke-on-Trent ,248700,2661,93
Southampton ,235900,4733,50
Swindon ,209700,911,230
Portsmouth ,205400,5089,40
Luton ,203600,4696,43
North Somerset ,203100,543,374
Warrington ,202700,1122,181
York ,197800,727,272
Stockton-on-Tees ,191800,941,204
Peterborough ,184500,537,343
Herefordshire ,183600,84,2180
Bournemouth ,183500,3974,46
Bath and North East Somerset ,175500,508,346
Southend-on-Sea ,174300,4174,42
North Lincolnshire ,167500,198,846
Telford and Wrekin ,166800,575,290
North East Lincolnshire ,159700,832,192
Thurrock ,158300,969,163
Bedford ,157800,331,476
Reading ,155300,3844,40
Wokingham ,154900,866,179
West Berkshire ,154100,219,704
Poole ,148100,2287,65
Blackburn with Darwen ,147700,1078,137
Windsor and Maidenhead ,145100,738,197
Blackpool ,142100,4077,35
Slough ,140700,4323,33
Middlesbrough ,138400,2569,54
Isle of Wight ,138400,364,380
Redcar and Cleveland ,135200,552,245
Torbay ,131200,2086,63
Halton ,125700,1589,79
Bracknell Forest ,113700,1039,109
Darlington ,105600,535,197
Hartlepool ,92100,981,94
Rutland ,37600,99,382
Isles of Scilly ,2200,134,16
