text,lat,lng,value
location1,37.60206,-122.37099,10.4
location2,38.66376,-121.35485,11.6
location3,26.18506,-81.79975,14.9
location4,38.56682,-86.61648,12.9
location5,30.50245,-87.22378,11.7
location6,33.87207,-118.26321,12.1
location7,33.94558,-118.38109,12.1
location8,32.79066,-117.2549,12.1
location9,40.85819,-115.73931,11.7
location10,43.14141,-115.65975,11.1
location11,36.04442,-79.836,13.0
location12,34.81675,-90.41436,11.7
location13,47.62993,-122.13774,11.7
location14,39.42944,-80.18901,13.4
location15,25.815,-80.12271,12.7
location16,39.28625,-76.62138,13.0
location17,41.83784,-88.01048,12.9
location18,39.76611,-86.16177,10.7
location19,38.79628,-104.79516,12.6
location20,42.72336,-73.80067,11.7
location21,38.41274,-82.34313,11.9
location22,26.39795,-81.83615,15.0
location23,36.86192,-75.97885,13.5
location24,38.60684,-121.26794,11.7
location25,40.86208,-74.37546,13.0
location26,38.57733,-121.49143,10.3
location27,39.60502,-106.51543,11.4
location28,39.94607,-75.1416,13.5
location29,32.78723,-79.95855,11.3
location30,34.14215,-118.14443,11.6
location31,42.13816,-72.62597,13.0
location32,33.64133,-112.117,11.4
location33,40.19069,-74.86708,13.3
location34,47.82288,-122.27103,9.6
location35,26.78104,-80.0338,10.9
location36,42.52958,-82.90921,12.7
location37,35.3509,-106.54645,11.1
location38,29.95403,-90.07131,13.2
location39,39.69154,-75.65383,13.1
location40,41.37188,-81.82266,8.3
location41,42.35337,-71.06115,10.2
location42,40.09504,-75.41577,13.2
location43,32.93719,-80.04564,13.3
location44,42.64157,-83.17073,12.9
location45,38.92728,-77.21688,11.6
location46,42.15378,-87.87032,13.0
location47,47.45125,-122.29578,11.3
location48,39.86701,-75.30603,13.4
location49,47.61296,-122.33338,10.4
location50,47.57966,-122.14401,10.5
location51,35.76057,-78.74375,13.5
location52,42.12807,-75.96984,11.9
location53,41.89686,-87.62482,12.3
location54,27.30966,-80.42214,14.6
location55,35.56273,-82.54165,13.1
location56,32.92548,-96.81652,12.8
location57,40.01689,-83.02424,12.3
location58,40.89094,-74.22054,11.9
location59,44.95987,-89.62888,12.6
location60,26.75724,-80.09391,12.9
location61,42.47244,-72.61447,9.4
location62,42.5123,-71.23436,7.5
location63,37.60244,-77.51504,13.2
location64,32.89748,-97.03937,13.4
location65,29.52902,-98.48622,12.9
location66,41.68259,-83.62529,11.3
location67,30.43162,-91.05753,13.8
location68,34.7006,-118.17062,11.6
location69,38.30369,-122.28416,11.8
location70,29.60666,-95.64256,13.8
location71,39.18692,-106.81742,12.3
location72,36.17493,-115.28721,11.2
location73,37.80552,-122.4177,12.4
location74,41.06113,-73.86212,13.3
location75,40.28346,-74.08059,12.5
location76,33.64992,-117.9902,11.3
location77,26.88032,-80.056,12.5
location78,41.79909,-88.20324,12.2
location79,29.62157,-82.38678,13.1
location80,36.50945,-82.56806,12.6
location81,33.61699,-117.88748,9.8
location82,34.31007,-89.92784,13.1
location83,29.94836,-90.06547,14.0
location84,26.13832,-81.78227,12.7
location85,29.73085,-95.4331,13.8
location86,43.03696,-88.1225,13.4
location87,39.24096,-119.94041,9.7
location88,41.25249,-75.82935,13.4
location89,39.04356,-94.58832,13.0
location90,32.17375,-80.73368,12.2
location91,34.70051,-118.17065,12.5
location92,33.84852,-84.36649,12.8
location93,41.4705,-81.94943,12.3
location94,41.21308,-73.08944,9.2
location95,36.32016,-94.18673,13.2
location96,39.1722,-76.73566,12.5
location97,39.9507,-75.16892,11.7
location98,42.48593,-83.0849,12.4
location99,45.60442,-122.67833,12.2
location100,27.73291,-82.74523,13.2
location101,38.9645,-76.85916,6.6
location102,35.14248,-90.05079,14.3
location103,40.44671,-79.99245,12.8
location104,39.96949,-83.00206,12.5
location105,40.75983,-73.83187,12.7
location106,33.66557,-78.918,13.9
location107,30.32361,-81.65554,0.0
location108,40.36192,-74.63037,9.8
location109,40.36192,-74.63037,9.9
location110,40.73794,-73.60281,10.5
location111,34.02127,-118.5064,11.1
location112,40.71623,-74.03273,6.9
location113,34.05467,-118.41214,12.1
location114,29.95429,-90.06808,12.0
location115,37.40287,-121.97766,12.2
location116,45.06747,-93.01817,12.1
location117,35.11081,-106.56877,12.3
location118,41.7305,-72.79973,12.4
location119,41.9052,-87.63002,12.8
location120,38.79963,-77.51645,12.9
location121,43.05756,-77.65268,12.6
location122,35.91057,-78.89302,13.8
location123,34.03698,-118.08093,12.6
location124,33.90072,-118.38822,10.9
location125,33.71742,-116.33009,11.6
location126,37.79285,-122.40313,11.7
location127,39.76714,-86.1604,13.6
location128,41.46772,-87.32622,12.6
