city,count,lat,lng
Tokyo,37800000,35.6832099,139.9325461
Delhi,27000000,28.6422949,77.3401323
Seoul,25620000,37.51502,127.1400661
Shanghai,24750000,31.26895,121.9218847
Mumbai,23140000,19.0437449,73.1290223
Mexico City,21600000,19.3297299,-98.9707926
Sao Paulo,21200000,-23.673155,-46.3481276
Beijing,21150000,40.2501999,117.4542695
Osaka,20130000,35.92367,137.3681661
New York City,20080000,40.70579,-73.7306276
Jakarta,20000000,-6.23068,106.9269861
Manila,19700000,14.59892,121.015604
Karachi,19500000,24.9267099,67.1579661
Cairo,18420000,30.07857,31.4646161
Los Angeles,17200000,34.020685,-118.1475376
Dhaka,17000000,23.7816399,90.5499961
Moscow,16500000,55.58681,37.8786647
Buenos Aires,16100000,-34.616745,-58.3740219
Kolkata,16000000,22.55567,88.4687361
London,15500000,51.5266499,0.0215561
Istanbul,14500000,41.109075,29.1817323
Bangkok,14500000,13.7246099,100.8812023
Rio de Janeiro,14400000,-22.910985,-43.3242438
Lagos,14000000,6.53382,3.7736923
Tehran,13400000,35.6782614,51.6472764
Guangzhou,12400000,23.2219499,114.0048847
Kinshasa,12000000,-4.31024,15.4132361
Shenzhen,11700000,22.543,114.4116923
Lahore,11320000,31.5394499,74.4270761
Rhine-Ruhr,11300000,51.4706741,6.8745786
Paris,10700000,48.858935,2.409348
Tianjin,10600000,39.4043999,118.3772695
Bangalore,10200000,12.9828249,77.8066873
